WB_id,symbol,sequence,live_dead,type,logFC,logCPM,PValue,FDR
WBGene00195166,,W05B10.6,Live,protein_coding_gene,0.161556382,0.934666023,0.608882743,0.856614048
WBGene00000371,cox-5B,F26E4.9,Live,protein_coding_gene,-0.056933573,8.050866286,0.609773934,0.856675218
WBGene00000911,daf-15,C10C5.6,Live,protein_coding_gene,0.044658811,7.62227446,0.61023604,0.856675218
WBGene00000913,daf-18,T07A9.6,Live,protein_coding_gene,0.049045899,5.933305413,0.609767854,0.856675218
WBGene00001450,flp-7,F49E10.3,Live,protein_coding_gene,0.066014392,4.95008713,0.610209771,0.856675218
WBGene00004121,ptrn-1,F35B3.5,Live,protein_coding_gene,0.048416886,5.725161553,0.610145445,0.856675218
WBGene00005172,srg-15,C34C6.1,Live,protein_coding_gene,-0.198461476,0.679089266,0.610098396,0.856675218
WBGene00007433,swsn-7,C08B11.3,Live,protein_coding_gene,-0.040644614,7.817266141,0.609294721,0.856675218
WBGene00008222,,C50B6.9,Live,protein_coding_gene,-0.166800928,1.226502929,0.60977389,0.856675218
WBGene00008767,,F13G3.7,Live,protein_coding_gene,-0.051728232,4.893347897,0.610031415,0.856675218
WBGene00010928,clec-258,M162.2,Live,protein_coding_gene,0.293990081,2.153751299,0.609301316,0.856675218
WBGene00012364,zmp-4,W09D12.1,Live,protein_coding_gene,-0.067145222,3.710568934,0.609795535,0.856675218
WBGene00013041,pstk-1,Y49E10.22,Live,protein_coding_gene,0.168565899,1.084210033,0.609957466,0.856675218
WBGene00015133,mrpl-11,B0303.15,Live,protein_coding_gene,-0.04817505,5.79623266,0.610067953,0.856675218
WBGene00015934,ceh-48,C17H12.9,Live,protein_coding_gene,-0.062976936,4.302955677,0.609102536,0.856675218
WBGene00015985,,C18G1.7,Live,protein_coding_gene,0.158107835,0.465305837,0.60913846,0.856675218
WBGene00016449,tost-1,C35D10.13,Live,protein_coding_gene,0.101991407,3.630179073,0.609628158,0.856675218
